2021-09-17,Mark Perlberg,Tax and Investment Strategies
2021-09-24,Michael Morawski,Prison Turnaround to Coaching Others
2021-10-01,Mark Willis,Not Your Average Real Estate Advice
2021-10-08,Kevin Amolsch,Hard Money Lending
2021-10-14,Michael Flight,Blackchain Real Estate
2021-10-15,Ryland Moore,Water Rights and Climate Change
2021-10-22,Carrick Sears,Broker in Arizona
2021-10-29,David Mcllwaine,Walk Through of Apartment Complex Due Diligence
2021-11-05,Jen Katsev and Ganga Tawady,Industrial Real Estate
2021-11-12,Daniel Holmlund,SFH and MF Underwriting
2021-11-19,Attendees,Attendee Group Discussion
2021-12-03,Jason Thiele,Jason Thiele - Monetary Policy Fiscal Policy Flight to Quality
2021-12-10,Jason Smolarek,Tools for Short Term Rentals
2021-12-17,Mike Wolf,Tax Deeds
2022-01-07,Daniel Holmlund,Goal Setting and Open Discussion
2022-01-13,Catherine Tindall,Prepping for Tax Seaon
2022-01-14,Kyle Stanley,Short Term Rental Super Guests
2022-01-20,Jeff Love,Legal Protection in Real Estate Investing
2022-01-21,Brian and Kati Greene,Short Term Rental Super Guests
2022-01-27,Jamie Bateman,1st Lien Mortgage Note Investing
2022-01-28,Lee Yoder,Properties in Ohio
2022-02-03,William L. Exeter,1031 1035 721 Exchanges 121 Exclusions
2022-02-04,Micy Lui,Evaluating Passive Investments
2022-02-10,REI Discussion Group,Open Club Discusions
2022-02-11,Daniel Holmlund,Researching New Real Estate Investment Markets - New Albany OH
2022-02-18,Jennifer Beadles,Investing Out of State
2022-02-25,Matt Fore,Sales Rep Ironman Competitor and Real Estate Investor
2022-03-03,Christopher Nelson,Wealthward Capital
2022-03-04,Chace Fraser,Mr House Hack
2022-03-11,REI Discussion Group,
2022-03-18,Brandi Shotwell,What to Expect with Interest Rates
2022-03-25,Lindsay Lovell,How to Buy a Short Term Rental
2022-04-01,Anna Kelley,The REI Mom
2022-04-08,Melanie McDaniel,FreeStyle Capital Group
2022-04-15,Mark Podolsky,The Land Geek
2022-04-22,Matthew Sutika,Insurance on Investments
2022-05-06,Charlotte Dunford,Mobile Home Park Investing
2022-05-13,REI Discussion Group,Open Club Discusions
2022-05-20,Jacob Vanderslice,Self Storage Real Estate Investments
2022-05-27,Mark Haruguchi,Finding a Why and Accelerating Your Real Estate Deals
2022-06-03,Lauren Brychell,Self Storage Funds
2022-06-10,Eddie Speed,Note School
2022-06-17,Jay Hinrichs,Supply Chain and New Development
2022-06-24,Rick Albert,Agent and House Hacker in Los Angeles
2022-07-01,REI Discussion Group,Open Club Discusions
2022-07-08,Dave Van Horn,Real Estate Note Funds
2022-07-15,Fabiola Fleuranvil,Adjusting Deal Sourcing
2022-07-22,Don Spafford,Happy Camper Capital
2022-07-29,Isaac Weinberger,Cost Segregation
2022-08-05,John Humphrey,Real Estate In Texas
2022-08-12,Sief Khafagi,Short Term Rental Investing for Cash Flow Tax Benefits and Equity
2022-08-19,Daniel Holmlund,Underwriting Single Family and Multifamily Property
2022-08-26,AJ Shepard,Using Virtual Assistants in Your Business
2022-09-02,Michael Hazen,How to deduct up to 50 of your W2 taxes Dont miss this meeting
2022-09-09,Alicia Jarrett,Super Charged Offers
2022-09-16,Whitney Elkins-Hutten,Passive Investing
2022-09-23,Naeem Farokhnia,Running a Property Management Company
2022-09-30,Josi Heron,WayPoints Equity
2022-10-07,Chandni Dhanjal,Mentorship in Short Term Rentals
2022-10-14,Matthew Pollard,Right Motivation and the Right Strategies
2022-10-21,Keshav Kolur,Build to Rent Properties
2022-10-28,Whitney Elkins-Hutten,Investing in Car Washes
2022-11-04,Daniel Holmlund,Investing Strategies for Rising Interest Rates
2022-11-11,John Bianchi,Data Driven Short Term Rentals
2022-11-18,Richard Fertig,Is Now a Wait and See Time in the Market
2022-12-02,Jeremy Roll,Evaluating Private Equity Real Estate
2022-12-09,Kurt Lane,An Investors Guide To Rental Ordinances
2023-01-06,Club Discussion,Welcome to 2023 Real Estate Education Club
2023-01-13,Mark Desbrow,Green Light Development in Portland
2023-01-20,Daniel Holmlund,How Investors are Paid in Commercial Syndications
2023-01-27,Mathew Owens,Due Diligence on Passive Investments
2023-02-03,Rance Gregory,How to Invest in Debt Funds
2023-02-10,Andrea Duane,California Market Update
2023-02-17,Antoinette Munroe,Fearless and Free Fi
2023-02-24,Mary Soldano,How to Purchase Real Estate with an SBA Loan
2023-03-03,Dave Zook,Investing in ATM Machines
2023-03-10,Jef Baker,How to Invest in Debt Funds
2023-03-17,Ashish Gupta,Is it possible to replace your W2 income passively
2023-03-24,Dan Lewkowicz,Nothing But Net NNN
2023-03-31,Matthew Mitchell Chancey,Discounted Roth Conversions - NUA
2023-04-07,Merrill Chandler,How To Recession-Proof Your Business and Your Credit
2023-04-14,Levi Brackman,Building a Diverse Investment Portfolio with Real Estate and Other Income-Generating Assets
2023-04-28,Jimmy Edwards,Scaling from 5 to 25
2023-05-19,Sharon E Vornholt,Probate Investing Simplified
